iter	Passed	Remaining
0	0	94
1	1	89
2	2	81
3	3	82
4	4	80
5	4	77
6	5	75
7	6	73
8	7	71
9	7	69
10	8	69
11	9	71
12	10	70
13	11	69
14	12	68
15	13	69
16	14	69
17	14	67
18	15	66
19	16	65
20	17	63
21	17	62
22	18	62
23	19	62
24	20	61
25	21	60
26	21	59
27	22	58
28	23	58
29	24	57
30	25	56
31	26	55
32	26	54
33	27	53
34	28	52
35	29	51
36	29	50
37	30	49
38	31	48
39	31	47
40	32	46
41	32	45
42	33	44
43	34	44
44	35	43
45	35	42
46	36	41
47	37	40
48	38	39
49	39	39
50	39	38
51	40	37
52	40	36
53	41	35
54	41	34
55	42	33
56	43	33
57	44	32
58	45	31
59	46	30
60	46	30
61	47	29
62	48	28
63	49	27
64	49	26
65	50	25
66	51	25
67	51	24
68	52	23
69	53	22
70	54	22
71	54	21
72	55	20
73	56	19
74	57	19
75	58	18
76	58	17
77	59	16
78	59	15
79	60	15
80	61	14
81	61	13
82	62	12
83	63	12
84	64	11
85	65	10
86	66	9
87	66	9
88	67	8
89	68	7
90	68	6
91	69	6
92	69	5
93	70	4
94	71	3
95	71	2
96	72	2
97	73	1
98	74	0
99	75	0
